d_fpssm0,d_fpssm1,d_fpssm2,d_fpssm3,d_fpssm4,d_fpssm5,d_fpssm6,d_fpssm7,d_fpssm8,d_fpssm9,d_fpssm10,d_fpssm11,d_fpssm12,d_fpssm13,d_fpssm14,d_fpssm15,d_fpssm16,d_fpssm17,d_fpssm18,d_fpssm19,target
0.001612562,0.001712652,0.000211301,0.000645025,0,0.000133453,0.000700631,0.000967537,0.000422603,0.002079649,0.001467988,0.001000901,0.001256687,0.001267808,0.000378118,0.000111211,0.000311391,0.001056506,0.000322512,0.002124134,1
0,0.000183885,6.32E-05,0.000220381,0.000589555,0.000133352,0.000283548,5.76E-05,0.000614821,0.000350925,0.000362155,7.86E-05,0.000620436,0.000532003,0.000471644,0.000168444,3.09E-05,0.000791688,0.000263896,0.000196518,1
0.001574403,0.000761808,0.000457085,0.001422042,0.00162519,0.000964957,0.001828339,0.002437786,0.001675978,0.002234637,0.002590147,0.002082275,0.001879126,0.001523616,0.001472829,0.001422042,0,0.002793296,0.000558659,0.002742509,1
3.55E-05,0.000144144,7.58E-05,0.000131955,1.38E-05,9.80E-05,0.00017753,1.38E-05,4.13E-05,0.000404346,0.000342342,0.000103869,0.000255432,0.000296237,0,0.000210387,6.04E-05,0.000166402,8.85E-05,0.000219396,1
0.000297384,0.000234516,8.34E-05,0.000193547,1.41E-05,0.000195666,0.000209087,0.000218976,5.37E-05,0.000517066,0.000384268,0.000162466,0.00034683,0.000384974,0,0.000276192,8.55E-05,0.000127147,0.00015187,0.000323519,1
0.00077912,0.004918192,0.001412154,0,0.002142579,0.001266069,0.00058434,0.003019088,0.001947799,0.002921698,0.00038956,0.004918192,0.001704324,0.001119984,0.002142579,0.00068173,0.001899104,0.000973899,0.00038956,0.002191274,1
0.000114433,0.001698427,0.000662507,0.00062637,0.000698644,0.000975692,0.001427401,0,0.001005806,0.000590233,0.00077694,0.001981498,0.000915464,0.000566142,0.00051796,0.000530006,0.000337276,0.000861259,0.0004758,0.000391481,1
0,0.000945992,0.000867811,0.001321262,0.00132908,0.000867811,0.001110173,0.000515996,0.001258717,0.000961629,0.000805266,0.001102355,0.000938174,0.00078963,0.001766895,0.000766176,0.000641086,0.000633268,0.000875629,0.001094537,1
0.00025496,6.97E-05,0.000292805,0.000125488,5.58E-05,0.00093618,3.59E-05,5.18E-05,0.00027687,3.98E-06,0.000135447,4.18E-05,0.000583619,0.000177277,0.001203091,0.000442196,0.00019122,0.000157358,8.17E-05,0,1
9.58E-05,0.000347027,0.00040156,0.000598209,0,0.000198301,0.000198301,0.000343722,0.000568463,0.000406518,0.000358595,0.000236309,0.000271012,0.000551938,0.000383382,0.000239614,0.000299104,0.001029514,0.000784942,0.000436263,1
6.77E-05,0.000667286,3.25E-05,0.000252436,0,0.000292344,0.000560557,3.65E-05,8.63E-05,4.92E-05,8.82E-05,0.000240681,6.31E-05,3.12E-05,0.000147873,7.30E-05,2.47E-06,7.49E-05,4.02E-05,2.17E-05,1
4.59E-05,7.59E-05,7.21E-05,8.79E-05,0,0.00021025,0.000225736,2.03E-05,9.98E-05,2.05E-05,4.38E-05,0.000125078,0.000112868,2.26E-05,0.000524137,0.000180768,3.93E-05,3.63E-05,8.64E-06,9.83E-06,1
6.47E-05,0.001011734,0.00087776,0.001071792,0,0.00087776,0.000817703,0.000235609,0.00022175,0.000272568,0.000198651,0.000743786,0.000189411,0.000508177,0.000831562,0.000323385,0.000166312,0.000291047,0.000388062,0.000263328,1
0.000507813,0.001614583,0.000885417,0.002200521,0,0.000846354,0.002135417,0.001132813,0.000338542,0.000572917,0,0.001640625,0.00078125,0.000585938,0.0015625,0.000924479,0.000742188,0.000651042,0.000625,0.000664063,1
0,0.000344872,0.00014335,0.000502765,0.000598332,0.000251383,0.000542239,0.000116342,0.000500688,0.000479912,0.000276313,0.000373958,0.000689744,0.000309554,0.000378113,7.69E-05,2.91E-05,0.000484067,0.000232685,0.000378113,1
0.002424214,0.001796586,0.000164752,0.000902216,0.000345196,0.000478566,0.001427854,0.001255256,0.000235361,0.001106195,0.001388627,0.000517793,0.001121885,0.000690391,0.001019896,0.000353041,0.000384422,0.000313814,0,0.000980669,1
0.000308068,0.000274289,0.000304015,0.000562089,1.62E-05,0.000722879,0.000590464,9.32E-05,0.000210783,1.00E-04,0.000237807,0.000314824,0.000305366,0.000279693,0.000970144,0.000743147,0.000209432,0.000259426,4.05E-05,0,1
0.000181369,0.00040808,4.53E-05,0.000566778,0.00163232,0.000351402,0.000623456,0.000464758,0.001235576,0.000759482,0.000215376,4.53E-05,0.000850167,0.000442087,0.000498764,0.000124691,0,0.001042871,0.000782153,0.000294724,1
0.000744004,0.001057269,0.000881057,0.001605482,0.001390113,0.00062653,0.001762115,0.000744004,0.002290749,0.001488008,0.001625061,0.002427802,0.00246696,0.00268233,0.001938326,0,0.000176211,0.003563387,0.002956437,0.000606951,1
2.09E-05,0.000400458,0.00019892,0.000505152,0.000342875,0.000361197,0.000793063,0,0.000442335,0.000321936,0.000316702,0.00064649,0.000389988,0.000481596,0.000486831,7.85E-06,6.02E-05,0.000531326,0.000424014,0.000180598,1
0.00108058,0.000640344,9.72E-05,0.000343041,0.000937647,0.000337324,0.000114347,0.000811865,0.000977668,0.000463106,0.000365911,0.000120064,0.001223514,0.000165803,0.000640344,0.000177238,0,0.00140647,0.000251564,0.000451671,1
0,0.000931216,0.00052869,0.001261648,0.001183546,0.000775012,0.000943232,3.00E-05,0.001387812,0.000714934,0.001099436,0.000666871,0.000522683,0.000594777,0.001093428,0.000750981,7.81E-05,0.000913193,0.00052869,0.000438573,1
9.16E-05,0.000354155,0.000204623,0.000233241,1.07E-05,0.00106318,0.0011798,2.43E-05,8.80E-05,0.000134507,0.000435718,0.000736213,0.000198899,0,6.87E-05,0.000203907,7.44E-05,1.57E-05,1.43E-06,5.72E-05,1
0.000188667,0.000870493,0.000290164,0.000451367,3.70E-05,0.00077616,0.001349325,0.000114633,0.000148067,7.28E-05,8.48E-05,0.000894375,0.000137321,2.39E-05,0.000322405,0.000471667,0.000218519,3.46E-05,0,5.49E-05,1
0.000160276,0.000552061,0.000186988,0.000378429,0.001153094,0.000120207,0.000454114,0.000146919,0.001193163,0.00086816,0.000262674,0.000311647,0.001072957,0.000209249,0.000391785,0,5.79E-05,0.001006175,0.000209249,0.000609938,1
6.13E-05,0.000409248,0.000214472,0.000409248,0.000630285,0.00034797,0.000720013,0.000190399,0.000842569,0.000328274,0.000225415,0.00053618,0.000599646,0.000481468,0.000369855,6.57E-05,0,0.001030779,0.000575573,0.00011599,1
0.000909091,0.000447552,0.000769231,0.000937063,0.002055944,0.000601399,0.001412587,0.000475524,0.001440559,0.001314685,0.000643357,0.001048951,0.001538462,0.001146853,0.000867133,0.000405594,0,0.002573427,0.000853147,0.000741259,1
0.000664452,0,0.001930074,0.001218162,0.000458788,0.000458788,7.91E-05,0.001518747,0.001487106,0.00053789,0.001265623,0.001866793,0.00053789,0.002135738,0.000332226,0.00170859,0.001423825,0.000885936,0.001218162,0.000759374,1
0.00018703,0.000388243,0.000223373,0.00028675,0,0.000568626,0.000765406,8.60E-05,6.78E-05,0.000320877,0.000370515,0.000529624,0.000133403,0.000120107,3.94E-05,0.000128528,6.16E-05,9.75E-06,9.79E-05,0.000144483,1
0.000225649,0.000297596,0.000294325,0.000421866,0.000614813,0.000415326,0.00034665,0.00011773,0.001030139,0.000206028,0.000281244,0.000163514,0.000657327,0.000448029,0.00034338,0,3.60E-05,0.001331005,0.000412056,3.27E-05,1
0.001987054,0.00192684,0.000311104,0.000150534,0.000100356,0.000662351,0.000511817,0.000491746,0.000371318,0.000371318,0.000381354,0.004485925,0.000411461,0.000110392,0.002448693,0.00128456,0.000812886,0,0.000260926,0.000451603,1
0.00028463,0.000395319,0.001122707,0.000838077,0.002688172,0.000379507,0.000363694,0.000268817,0.00159709,3.16E-05,0.000506009,0.000411132,0.000711575,0.001217584,0.001170145,0.00102783,0.000553447,0.002024035,0.000948767,0,1
0.000629426,0.000247274,0.000550747,0.000842981,0.000786782,0.000764303,0.001933236,0.000393391,0.000741823,0.000977858,0.000753063,0.002450264,0.000696864,0.00044959,0.001427447,0.000112397,0,0.000775542,0,0.001045296,1
0.000616399,0.000974771,0.002307913,0.00153383,0.00153383,0.001920872,0.001476491,0,0.001634174,0.001906537,0.002422592,0.002193234,0.001261468,0.001247133,0.002293578,0.002107225,0.000946101,0.000860092,0.001132454,0.001576835,1
0.001814882,0.001382767,0.001209921,0.001685248,0.000604961,0.001814882,0.002592689,0.000216057,0.002463054,0.001944516,0.003327284,0.002506266,0.000648172,0.002506266,0.001901305,0.00030248,0,0.0026359,0.002419843,0.001858094,1
0,0.000370252,0.000484899,0.000422877,0.000389047,0.000999868,0.000580751,4.51E-05,0.000644652,0.000366493,0.000526247,0.000368373,0.000601425,0.000383408,0.000560077,0.000289436,0.000169151,0.000394685,0.000167271,0.000161633,1
0,0.000483238,0.000335582,0.000496661,0.000724857,0.000231551,0.000107386,0.000275177,0.001114131,0.000208061,0.000214772,0.000275177,0.000711433,0.000875868,0.000577201,0.000171147,0.000107386,0.001808786,0.000912782,0.000154368,1
0,0.000128801,2.72E-05,0.000157286,0.000668775,9.41E-05,0.000198156,0.000116416,0.000573413,0.000225402,0.000191963,0.000151094,0.000489197,0.000177102,0.000154809,1.73E-05,1.11E-05,0.000625429,0.000163478,8.55E-05,1
5.82E-05,0.00015575,9.02E-05,0.000368268,0.000177584,0.00010917,0.000320233,3.78E-05,0.000257642,2.04E-05,0.000163028,4.22E-05,0.000195051,0.000221252,0.00063901,0.000110626,5.09E-05,0.00041048,0.000235808,0,1
0.003485577,0.002644231,0.000240385,0.0046875,0.000360577,0.000961538,0.005168269,0.000120192,0.004086538,0.002644231,0.003485577,0.002043269,0.003365385,0.0015625,0.000120192,0.000841346,0.002163462,0.005168269,0,0.000480769,1
0.001074637,0.001561582,0.00125934,0.002350768,0.000503736,0.001897406,0.003291075,0.00013433,0.000889934,0.000184703,0.000235077,0.004130636,0.001695911,0.000789186,0.001477626,0.001057846,1.68E-05,0.001561582,0.001326505,0,1
0.000792829,0.000360377,0.000189198,0.000783819,0.001450516,0.000351367,0.000864904,0.000747781,0.001648723,0.001261318,0.001135186,0.00030632,0.001099149,0.000729763,0.000405424,0.00030632,0,0.001522591,0.000603631,0.00077481,1
0.000136645,0.000670211,4.23E-05,0.000605142,0.000263529,0.000364386,0.001024837,0.00017894,0.000777575,0.000396921,0.00035788,0.000608395,0.000601888,0.000478257,0.000442469,0,3.58E-05,0.000878432,0.000351373,0.000139898,1
0,0.001185663,0.0012566,0.001530214,0.001601151,0.001053922,0.001469411,0.000709371,0.001864632,0.001226198,0.001276867,0.001185663,0.001509946,0.001368072,0.001114726,0.0006283,0.000324284,0.001783561,0.001175529,0.00057763,1
0,0.000968547,0.001045194,0.000606213,0.000940675,0.000508661,0.000320526,0.00034143,0.001930125,0.000473821,0.000808284,0.000564405,0.000961579,0.000912803,0.00140056,0.000494725,0.000459885,0.001414496,0.001330881,0.000536533,1
0.002225466,0.001974204,0,0.001746871,5.98E-05,0.000789681,0.002057958,0.001196487,0.000502525,0.002105817,0.00186652,0.001220417,0.001663117,0.000837541,0.001316136,0.000335016,0.000478595,0.00049056,0.000526454,0.002022063,1
0.002345521,0.001625173,3.51E-05,0.001229861,0,0.000650069,0.001317708,0.001976562,0.000887257,0.001449479,0.001519757,0.00048316,0.000957535,0.000939965,0.001300139,0.00031625,0.000650069,0.00048316,0.000544653,0.002459722,1
0.000284938,0.000407356,0.000139303,0.000377807,7.81E-05,0.000145635,0.000287049,0.000308155,0.000508667,0.000546659,0.000460122,0.000116086,0.000168852,0.000189959,0.000443237,0.000147746,0,0.00013086,6.75E-05,0.000403135,1
0.001267118,0.001801865,0.001371742,0.001476367,0,0.00181349,0.001546116,0.000662621,0.001964614,0.000929995,0.001232243,0.001022994,0.000988119,0.001069494,0.001592616,0.00089512,0.000278998,0.00179024,0.001441492,0.000755621,1
0.001010882,0.001217185,0.001041828,0.001712311,0,0.001310021,0.001402857,0.000185672,0.000897416,0.000319769,0.000887101,0.000928361,0.000887101,0.000866471,0.003373047,0.003063593,0.001402857,0.000195987,0.000144412,0.000412605,1
0,0.001112208,0.000748402,0.001538382,0.001829427,0.000935502,0.001413648,0.000467751,0.002224417,0.000966686,0.001091419,0.000987475,0.001226547,0.001413648,0.001257731,0.00097708,0.000436568,0.00216205,0.001507198,0.000457357,1
0.001292501,0.001495057,0.001176754,0.002093079,0.00054015,0.00155293,0.000694478,0.002170244,0.001475766,0.001861587,0.001543284,0.001572221,0,0.000742706,0.000723415,0.002951531,0.002546419,0.002228117,0.000434049,0.00228599,1
0.003436426,0.003240059,0.002749141,0.002258223,0.003632793,0.001472754,0.002650957,0.002945508,0.00245459,0.006480118,0.003927344,0.007560137,0.004614629,0.00137457,0.002061856,0.003829161,0.000785469,0,0.002945508,0.005007364,1
0.000156616,0.000367238,1.08E-05,0.000540056,0.001285333,0.000210622,0.000550857,0.00038884,0.001069311,0.00058326,0.000529255,0.000367238,0.001036907,0.000437445,0.000313232,3.24E-05,0,0.000945098,0.000318633,0.000237625,1
0.006320082,0.001630989,0.001732926,0.004281346,0.001427115,0.002446483,0.002446483,0.002650357,0.003058104,0.001325178,0.001732926,0.003363914,0.004281346,0.002344546,0.004383282,0.001325178,0.001223242,0.004994903,0.002038736,0,1
0,0.000467407,0.001080879,0.001513231,0.001384694,0.001080879,0.001495703,0.000362241,0.000958185,0.000543361,0.000899759,0.001361323,0.001191888,0.001320425,0.000841333,0.000800435,0.000484935,0.001080879,0.001139305,0.00047325,1
0.000333319,0.000521716,0.000101445,0.00023912,0.001550657,0.000137675,0.000231874,0.000289842,0.001456458,0.000456502,0.000115937,0.000108691,0.001210092,0.000398533,0.000572439,0,0.000108691,0.001999913,0.000565193,0.000268104,1
0.000776279,0.001088313,0.000251149,0.000837164,0.001080703,0.000167433,0.001263357,0.000441414,0.001194861,0.000943712,0.000555572,0.000547962,0.001103534,0.000601236,0.000586015,7.61E-05,0,0.001415568,0.000479467,0.000821943,1
0.001097324,0.000580316,0.000865198,0.001392758,0.001445514,0.000738584,0.001635435,0.000907403,0.001656538,0.001424411,0.0008863,0.001350553,0.002141892,0.000928505,0.000759686,0,0.000126614,0.001603782,0.001266143,0.00123449,1
0.000660357,0.001000602,0.000501308,0.000682503,0.000277833,0.00066237,0.00134286,0.00012885,0.0005456,0.000543587,0.000652304,0.001024761,0.000483188,0.000616065,0.000306019,8.05E-05,0,0.001044894,0.000916044,0.000299979,1
0.001006558,0.001159067,3.05E-05,0.000671039,0.000193178,0.000488028,0.001067561,0.000833715,0.00022368,0.000772711,0.000305018,0.000935387,0.00103706,0.00063037,0.000935387,0.000172843,0,0.000284683,0.000732042,0.000640537,1
0.000237496,0.000312742,0.000225738,0.000420908,0.000590212,0.000159898,0.000275119,0.000362122,0.000646646,0.000324499,0.000166952,0.000124626,0.0005714,0.000352716,0.0005714,0,0.000166952,0.000797139,0.000416205,0.00026101,1
0.001359023,0.001359023,0.000230157,0.002170053,0.000306876,0,0.000909669,0.001457662,0.001567261,0.001830297,0.001446702,5.48E-05,0.000909669,0.000909669,0.001205585,0.000350716,0.000339756,0.001063107,0.00078911,0.001556301,1
7.08E-05,0.000252038,0.000184828,0.000404461,0.000164425,9.12E-05,0.000462069,0.000110417,0.000390059,0.000363655,0.000206431,0.00046567,0.000278442,0.000342051,0.000327649,0,5.52E-05,0.00086173,0.000469271,0.000280842,1
0.00057487,0.00052012,0.001110633,0.001020687,0.000148606,0.000668726,0.000801689,0.000441907,0.000653084,0.000590513,0.000359783,0.000676548,0.00034414,5.47E-05,0.001505612,0.001478237,0.00092292,0.000199445,0,0.000469282,1
0.000348024,0.000329707,0.001036221,0.000936785,5.76E-05,0.000489326,0.000638479,0.000382041,0.000609695,0.000562595,0.000272139,0.000562595,0.000274755,4.45E-05,0.001261258,0.001219391,0.000735298,0.000211954,0,0.000329707,1
0.000509495,0.003195924,0.00123514,0.00020071,0.001127065,0.000463177,0,0.002130616,0.002377644,0.001466728,0.000293346,0.002732747,0.000833719,0.000478617,0.001667439,0.00041686,0.000324224,0.00185271,0.001266018,0.000926355,1
0.001613554,0.01432029,0.003630496,0.006252521,0.006252521,0.008672852,0.008874546,0.007260992,0.005647438,0.009681323,0.007260992,0.009277935,0.008269463,0.001613554,0.003227108,0.003227108,0.006050827,0,0.000806777,0.011294877,1
0.002715011,0.00262743,0.001080166,0,0.001810008,0.001547265,0.000291937,0.001547265,0.001810008,0.003620015,0.004379051,0.001284522,0.003649209,0.004495825,0.002218719,0.003152916,0.002481462,0.004437438,0.002189525,0.002277106,1
0.000447843,0.001791374,0.000740664,0.00065454,0.000499518,0.001171283,0.002118644,0.00065454,0.000981811,0.002015296,0.000516742,0.00308323,0.001274631,0.00032727,0.001429654,0,0.000533967,0.000671765,0.000602866,0.001412429,1
0,0.002256279,0.001745424,0.002554278,0.000808855,0.002852278,0.003405705,0.000808855,0.002511707,0.002979991,0.002767135,0.002256279,0.000936569,0.003703704,0.001106854,0.001362282,0.000893997,0.003405705,0.00195828,0.001447424,1
3.51E-05,0.00024256,0.000466125,0.000547952,0.000466125,0.000495349,0.000564026,0,0.000711608,0.000607862,0.000527496,0.000445668,0.000385758,0.000400371,0.000318543,0.000287858,6.58E-05,0.000397448,0.000552336,0.000219181,1
3.03E-05,0.000788261,0.000373919,0.000677096,0.000202118,0.001091438,0.001182391,0.000353707,0.000707414,0.000596249,0.000859002,0.000565931,0.000636672,0.000404236,0.00044466,0.000899426,0,0.00039413,3.03E-05,0.00022233,1
0.001388552,0.000485319,0.000701016,0.001294184,0.000795384,0.001078487,0.002116531,0.000390951,0.000889752,0.001213298,0.000889752,0.001995201,0.001509882,0.001294184,0.001442476,0.000296584,0,0.000310065,0.000579687,0.000835827,1
0.00069724,0.001315247,0.000507083,0.001505404,6.34E-05,0.00221849,0.001980794,0.000142617,0.00069724,0.000903242,0.001442018,0.001410325,0.000792318,9.51E-05,0.000142617,0.001014167,0,0.000491237,0.00017431,0.000412005,1
0,0.000207401,0.000300452,0.000397987,2.58E-05,0.000143499,0.00014462,0.000176011,0.00042265,0.000228702,0.00017489,0.000142378,0.000210765,0.000358748,0.000276909,0.000171527,0.000158074,0.000804942,0.000569513,0.000217491,1
2.12E-05,0.001820337,0.000867835,0.001460503,0.000571501,0.002307171,0.002095504,0.000973669,0.000613835,0.001312336,0.001502836,0.001566336,0.00154517,0.000825502,0,0.001312336,0.000169334,0.000275167,0.000232834,0.000889002,1
0.000150983,0.000561466,0.000561466,0.000632239,0.000589776,0.000594494,0.000363302,0.000217037,0.001500389,0.000155701,0.000103801,0.000160419,0.000622803,0.000811531,0.001226733,0,0.000155701,0.001325816,0.000618085,0.000179292,1
0.001105289,0.002435729,0.000921074,0.001780743,0.000266088,0.001269036,0.002599476,0.001084821,0.002640413,0.002169641,0.001657934,0.001228099,0.001166694,0.001002947,0.001371377,0,0.000470771,0.002722286,0.001166694,0.001084821,1
0.000546647,6.07E-05,0.000364431,0.002459913,0.002520651,0.000728863,0.001154033,0.001032556,0.002429543,0.000911079,0.000819971,0.001518465,0.001943635,0.002095481,0.00173105,0,0.000334062,0.00343173,0.001245141,0.001396987,1
0.000316634,0.000471433,0.000555868,0.000112581,0.001329862,0.000112581,0.00032367,6.33E-05,0.001111737,0.000696594,0.000415142,0.000429215,0.001118773,0.000288489,0.000668449,8.44E-05,0,0.001196172,0.000569941,0.000394033,1
0.000725776,0.000339324,8.17E-05,2.83E-05,0.000260777,0.000157094,0.000238783,0.000710067,0,0.001294458,0.000813749,5.66E-05,0.000904864,0.001325877,0.000273344,0.000405304,0.000235642,0.000864019,0.000424155,0.000785472,1
0.000314313,0.00282882,0.000676983,0.000411025,0.003118956,0.001353965,0.000701161,0.00082205,0.002490329,0.00082205,0.000338491,0.002321083,0.001571567,0.001257253,0.002224371,0.000531915,0,0.002587041,0.00176499,0.000483559,1
0,0.000559329,0.000430253,0.000352476,0.000312761,0.000430253,0.000183685,0.00018534,0.000431908,0.000478242,0.000258152,0.000551054,0.000496445,0.000413705,0.000691714,0.000180375,0.000147279,0.000334273,0.000395502,0.000383918,1
